non-preferred name	preferred name
myo-inositol 2-dehydrogenase	inositol 2-dehydrogenase
glycolate reductase	glyoxylate reductase
glyoxylic acid reductase	glyoxylate reductase
NADH-dependent glyoxylate reductase	glyoxylate reductase
D-lactic acid dehydrogenase	D-lactate dehydrogenase
D-lactic dehydrogenase	D-lactate dehydrogenase
D-beta-hydroxybutyrate dehydrogenase	3-hydroxybutyrate dehydrogenase
malic dehydrogenase	malate dehydrogenase
beta-IPM dehydrogenase	3-isopropylmalate dehydrogenase
beta-isopropylmalate dehydrogenase	3-isopropylmalate dehydrogenase
IMDH	3-isopropylmalate dehydrogenase
acetohydroxy acid isomeroreductase	ketol-acid reductoisomerase
alpha-keto-beta-hydroxylacyl reductoisomerase	ketol-acid reductoisomerase
dihydroxyisovalerate dehydrogenase (isomerizing)	ketol-acid reductoisomerase
dTDP-4-keto-L-rhamnose reductase	dTDP-4-dehydrorhamnose reductase
dTDP-6-deoxy-L-mannose dehydrogenase	dTDP-4-dehydrorhamnose reductase
ketopantoate reductase	2-dehydropantoate 2-reductase
ketopantoic acid reductase	2-dehydropantoate 2-reductase
KPA reductase	2-dehydropantoate 2-reductase
2-keto-D-gluconate reductase	gluconate 2-dehydrogenase
2-ketogluconate reductase	gluconate 2-dehydrogenase
4-(phosphohydroxy)-L-threonine dehydrogenase	4-hydroxythreonine-4-phosphate dehydrogenase
L-threonine 4-phosphate dehydrogenase	4-hydroxythreonine-4-phosphate dehydrogenase
NAD(+)-dependent threonine 4-phosphate dehydrogenase	4-hydroxythreonine-4-phosphate dehydrogenase
choline oxidase	choline dehydrogenase
choline-cytochrome c reductase	choline dehydrogenase
acylating acetaldehyde dehydrogenase	acetaldehyde dehydrogenase (acetylating)
aldehyde dehydrogenase (acylating)	acetaldehyde dehydrogenase (acetylating)
ASA dehydrogenase	aspartate-semialdehyde dehydrogenase
aspartic semialdehyde dehydrogenase	aspartate-semialdehyde dehydrogenase
L-aspartate-beta-semialdehyde dehydrogenase	aspartate-semialdehyde dehydrogenase
N-acetyl-glutamate semialdehyde dehydrogenase	N-acetyl-gamma-glutamyl-phosphate reductase
NAGSA dehydrogenase	N-acetyl-gamma-glutamyl-phosphate reductase
2-hydro-1,2-dihydroxybenzoate dehydrogenase	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
3,5-cyclohexadiene-1,2-diol-1-carboxylate dehydrogenase	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
3,5-cyclohexadiene-1,2-diol-1-carboxylic acid dehydrogenase	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
cis-1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
cis-1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate:NAD(+) oxidoreductase	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
DHB dehydrogenase	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
DHBDH	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
dihydrodihydroxybenzoate dehydrogenase	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
DHOdehase	dihydroorotate oxidase
dihydoorotic acid dehydrogenase	dihydroorotate oxidase
dihydroorotate dehydrogenase	dihydroorotate oxidase
acyl dehydrogenase	acyl-CoA dehydrogenase
medium-chain acyl-CoA dehydrogenase	acyl-CoA dehydrogenase
glutamic dehydrogenase	glutamate dehydrogenase
tetrahydrofolate dehydrogenase	dihydrofolate reductase
respiratory nitrate reductase	nitrate reductase
glutathione reductase	glutathione-disulfide reductase
glutathione reductase (NADPH)	glutathione-disulfide reductase
glutathione S-reductase	glutathione-disulfide reductase
GSH reductase	glutathione-disulfide reductase
GSSG reductase	glutathione-disulfide reductase
NADPH-glutathione reductase	glutathione-disulfide reductase
NADPH-GSSG reductase	glutathione-disulfide reductase
NADPH:oxidized-glutathione oxidoreductase	glutathione-disulfide reductase
methionine S-oxide reductase	peptide-methionine (S)-S-oxide reductase
methionine S-oxide reductase (S-form oxidizing)	peptide-methionine (S)-S-oxide reductase
methionine sulfoxide reductase	peptide-methionine (S)-S-oxide reductase
methionine sulfoxide reductase A	peptide-methionine (S)-S-oxide reductase
methionine sulphoxide reductase A	peptide-methionine (S)-S-oxide reductase
peptide Met(O) reductase	peptide-methionine (S)-S-oxide reductase
peptide methionine sulfoxide reductase	peptide-methionine (S)-S-oxide reductase
AhpC	peroxiredoxin
alkyl hydroperoxide reductase C22	peroxiredoxin
PRDX	peroxiredoxin
Prx	peroxiredoxin
thioredoxin peroxidase	peroxiredoxin
TrxPx	peroxiredoxin
tryparedoxin peroxidase	peroxiredoxin
TXNPx	peroxiredoxin
catechase	catechol 1,2-dioxygenase
pyrocatechase	catechol 1,2-dioxygenase
homogentisate oxygenase	homogentisate 1,2-dioxygenase
homogentisic acid oxidase	homogentisate 1,2-dioxygenase
homogentisicase	homogentisate 1,2-dioxygenase
homoprotocatechuate 2,3-dioxygenase	3,4-dihydroxyphenylacetate 2,3-dioxygenase
HPC dioxygenase	3,4-dihydroxyphenylacetate 2,3-dioxygenase
4-hydroxyphenylpyruvate hydroxylase	4-hydroxyphenylpyruvate dioxygenase
p-hydroxyphenylpyruvate dioxygenase	4-hydroxyphenylpyruvate dioxygenase
p-hydroxyphenylpyruvate oxidase	4-hydroxyphenylpyruvate dioxygenase
p-hydroxybenzoic acid hydroxylase	4-hydroxybenzoate 3-monooxygenase [NAD(P)H]
para-hydroxybenzoate hydroxylase	4-hydroxybenzoate 3-monooxygenase [NAD(P)H]
cobalamin-independent methionine synthase	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
homocysteine methylase	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
methionine synthase (cobalamin-independent)	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
methyltetrahydropteroylpolyglutamate:homocysteine methyltransferase	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
tetrahydropteroylglutamate-homocysteine transmethylase	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
CFA synthase	cyclopropane-fatty-acyl-phospholipid synthase
cyclopropane fatty acid synthase	cyclopropane-fatty-acyl-phospholipid synthase
cyclopropane synthetase	cyclopropane-fatty-acyl-phospholipid synthase
unsaturated-phospholipid methyltransferase	cyclopropane-fatty-acyl-phospholipid synthase
formylmethionyl-transfer ribonucleic synthetase	methionyl-tRNA formyltransferase
methionyl ribonucleic formyltransferase	methionyl-tRNA formyltransferase
methionyl-transfer ribonucleate methyltransferase	methionyl-tRNA formyltransferase
methionyl-transfer ribonucleic transformylase	methionyl-tRNA formyltransferase
methionyl-transfer RNA transformylase	methionyl-tRNA formyltransferase
methionyl-tRNA Met formyltransferase	methionyl-tRNA formyltransferase
methionyl-tRNA transformylase	methionyl-tRNA formyltransferase
N(10)-formyltetrahydrofolic-methionyl-transfer ribonucleic transformylase	methionyl-tRNA formyltransferase
alpha-ketoisovalerate hydroxymethyltransferase	3-methyl-2-oxobutanoate hydroxymethyltransferase
dehydropantoate hydroxymethyltransferase	3-methyl-2-oxobutanoate hydroxymethyltransferase
ketopantoate hydroxymethyltransferase	3-methyl-2-oxobutanoate hydroxymethyltransferase
aspartate transcarbamylase	aspartate carbamoyltransferase
ATCase	aspartate carbamoyltransferase
carbamylaspartotranskinase	aspartate carbamoyltransferase
citrulline phosphorylase	ornithine carbamoyltransferase
ornithine transcarbamylase	ornithine carbamoyltransferase
OTC	ornithine carbamoyltransferase
OTCase	ornithine carbamoyltransferase
1-deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating)	1-deoxy-D-xylulose-5-phosphate synthase
1-deoxyxylulose-5-phosphate synthase	1-deoxy-D-xylulose-5-phosphate synthase
DXP-synthase	1-deoxy-D-xylulose-5-phosphate synthase
N-acetylglutamate synthase	amino-acid N-acetyltransferase
homoserine O-trans-acetylase	homoserine O-acetyltransferase
homoserine transacetylase	homoserine O-acetyltransferase
7-KAP synthetase	8-amino-7-oxononanoate synthase
7-keto-8-aminopelargonic acid synthetase	8-amino-7-oxononanoate synthase
8-amino-7-ketopelargonate synthase	8-amino-7-oxononanoate synthase
AONS	8-amino-7-oxononanoate synthase
succinyl-CoA:tetrahydrodipicolinate N-succinyltransferase	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
tetrahydrodipicolinate N-succinyltransferase	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
tetrahydrodipicolinate succinylase	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
tetrahydrodipicolinate succinyltransferase	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
arylamine N-acetyltransferase	N-hydroxyarylamine O-acetyltransferase
arylhydroxamate N,O-acetyltransferase	N-hydroxyarylamine O-acetyltransferase
lipoate/octanoate transferase	lipoyl(octanoyl) transferase
lipoyl (octanoyl)-[acyl-carrier-protein]-protein N-lipoyltransferase	lipoyl(octanoyl) transferase
lipoyl(octanoyl)transferase	lipoyl(octanoyl) transferase
lipoyltransferase	lipoyl(octanoyl) transferase
octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase	lipoyl(octanoyl) transferase
PPT acetyltransferase	phosphinothricin acetyltransferase
PPT N-acetyltransferase	phosphinothricin acetyltransferase
gamma-glutamyl transpeptidase	gamma-glutamyltransferase
glutamyl transpeptidase	gamma-glutamyltransferase
(R)-citric synthase	citrate (Si)-synthase
citrate condensing enzyme	citrate (Si)-synthase
citrate oxaloacetate-lyase ((pro-3S)-CH(2)COO(-)->acetyl-CoA)	citrate (Si)-synthase
citrate oxaloacetate-lyase, CoA-acetylating	citrate (Si)-synthase
citrate synthase	citrate (Si)-synthase
